Date,Interest Rate
36557,8.43
36586,8.24
36617,8.23
36647,8.5
36678,8.34
36708,8.18
36739,8.08
36770,8.08
36800,8.08
36831,8.04
36861,7.81
36892,7.58
36923,7.52
36951,7.19
36982,7.22
37012,7.38
37043,7.47
37073,7.46
37104,7.39
37135,7.03
37165,6.74
37196,6.51
37226,6.64
37257,6.62
37288,6.59
37316,6.8
37347,7
37377,7
37408,6.98
37438,6.9
37469,6.61
37500,6.49
37530,6.5
37561,6.47
37591,6.39
37622,6.26
37653,6.29
37681,6.33
37712,6.44
37742,6.1
37773,5.62
37803,5.71
37834,5.87
37865,5.97
37895,5.83
37926,6.02
37956,6
37987,5.78
38018,5.51
38047,5.31
38078,5.56
38108,5.82
38139,6.06
38169,6.1
38200,5.97
38231,5.94
38261,5.95
38292,5.87
38322,5.69
38353,5.6
38384,5.59
38412,5.6
38443,5.67
38473,5.55
38504,5.31
38534,5.26
38565,5.32
38596,5.3
38626,5.39
38657,5.56
38687,5.6
38718,5.65
38749,5.75
38777,5.78
38808,5.88
38838,6.05
38869,6.12
38899,6.26
38930,6.24
38961,6.13
38991,6.01
39022,5.99
39052,5.89
39083,5.91
39114,6
39142,5.91
39173,5.92
39203,6.01
39234,6.51
39264,6.6
39295,6.62
39326,6.61
39356,6.69
39387,6.73
39417,6.75
39448,6.81
39479,6.72
39508,6.6
39539,6.4
39569,6.21
39600,6.2
39630,6.37
39661,6.25
39692,6.16
39722,6.46
39753,6.51
39783,6.17
39814,5.78
39845,5.28
39873,5.14
39904,4.79
39934,4.62
39965,4.9
39995,5.14
40026,5.13
40057,4.97
40087,5
40118,5.06
40148,4.83
40179,4.8
40210,4.73
40238,4.71
40269,5.15
40299,5.3
40330,5.18
40360,5.02
40391,4.82
40422,4.6
40452,4.52
40483,4.45
40513,4.5
40544,4.55
40575,4.68
40603,4.7
40634,4.87
40664,4.83
40695,4.6
40725,4.57
40756,4.52
40787,4.42
40817,4.35
40848,4.38
40878,4.36
40909,4.31
40940,4.23
40969,4.21
41000,4.36
41030,4.35
41061,4.25
41091,4.23
41122,4.23
41153,4.2
41183,4.17
41214,4.15
41244,4.15
41275,4.14
41306,4.11
41334,4.02
41365,4.02
41395,4.02
41426,4
41456,4.08
41487,4.14
41518,4.33
41548,4.4
41579,4.39
41609,4.39
41640,4.38
41671,4.32
41699,4.16
41730,4.02
41760,4.02
41791,4
41821,4.01
41852,4.01
41883,4.02
41913,4
41944,4
41974,3.98
42005,3.96
42036,3.91
42064,3.84
42095,3.76
42125,3.74
42156,3.72
42186,3.71
42217,3.71
42248,3.71
42278,3.72
42309,3.72
42339,3.75
42370,3.76
42401,3.75
42430,3.73
42461,3.7
42491,3.67
42522,3.66
42552,3.67
42583,3.68
42614,3.67
42644,3.68
42675,3.7
42705,3.74
42736,3.73
42767,3.75
42795,3.66
42826,3.62
42856,3.59
42887,3.6
42917,3.72
42948,3.82
42979,3.89
43009,3.98
43040,4.04
43070,4.07
43101,4.14
43132,4.26
43160,4.27
43191,4.27
43221,4.35
43252,4.32
43282,4.42
43313,4.43
43344,4.43
43374,4.48
43405,4.38
43435,4.59
43466,4.59
43497,4.52
43525,4.44
43556,4.33
43586,4.3
43617,4.23
43647,4.14
43678,4.08
43709,4.07
43739,4.09
43770,4.09
43800,4.08
43831,4.08
43862,4.08
43891,3.9
43922,3.95
43952,3.86
43983,3.77
44013,3.64
44044,3.57
44075,3.51
44105,3.45
44136,3.42
44166,3.34
44197,3.3
44228,3.25
44256,3.26
44287,3.25
44317,3.25
44348,3.26
44378,3.2
44409,3.2
44440,3.22
44470,3.29
44501,3.4
44531,3.45
44562,3.44
44593,3.58
44621,3.77
44652,4.19
44682,4.63
44713,5.05
44743,5.51
44774,5.58
44805,5.64
44835,5.75
44866,5.88
44896,5.89
44927,5.86
44958,5.81
44986,5.81
45017,5.75
45047,5.74
45078,5.85
45108,5.99
45139,6.17
45170,6.27
45200,6.42
45231,6.47
45261,6.39
45292,6.31
45323,6.15
45352,6.13
45383,6.08
45413,6.05
45444,5.98
45474,5.91
45505,5.73
45536,5.55
45566,5.44
45597,5.38
45627,5.35
45658,5.31
45689,5.1
45717,5.22
45748,5.1
45778,5.08
45809,5.05
45839,5.07
45870,5.1
45901,5.09
45931,5.06
45962,5.04
45992,5.06
46023,5.07
46054,5.05
46082,5.06
46113,5.13
